park_code,campground,total_sites,reservable,amenities,nps_url
acad,Blackwoods Campground,281,True,Flush toilets|Potable water|Dump station|RV friendly|Tent sites,https://www.nps.gov/acad/planyourvisit/blackwoods-campground.htm
acad,Seawall Campground,202,True,Flush toilets|Potable water|Dump station|RV friendly|Tent sites,https://www.nps.gov/acad/planyourvisit/seawall-campground.htm
acad,Schoodic Woods Campground,89,True,Flush toilets|Potable water|Dump station|Electric hookups|RV friendly|Tent sites,https://www.nps.gov/acad/planyourvisit/camping.htm
acad,Duck Harbor Campground,5,True,Potable water|Tent sites,https://www.nps.gov/acad/planyourvisit/duckharbor.htm
amis,Governors Landing Campground,15,False,Vault toilets|Potable water|Cell reception,https://www.nps.gov/amis/planyourvisit/governors-landing-campground.htm
amis,Rough Canyon Campground,4,False,Flush toilets|Cell reception,https://www.nps.gov/amis/planyourvisit/rough-canyon-campground.htm
amis,San Pedro Campground,41,False,Vault toilets|Tent sites|Cell reception,https://www.nps.gov/amis/planyourvisit/san-pedro-campground.htm
amis,Spur 406 Campground,6,False,Vault toilets|Cell reception,https://www.nps.gov/amis/planyourvisit/spur-406-campground.htm
amis,277 North Campground,18,False,Vault toilets|Cell reception,https://www.nps.gov/amis/planyourvisit/277-north-campground.htm
amis,Rock Quarry Group Campsite,1,False,Vault toilets|Dump station|Cell reception,https://www.nps.gov/amis/planyourvisit/rock-quarry-group-campsite.htm
amme,American Memorial Park,0,False,,
arch,Devils Garden Campground,51,True,Flush toilets,https://www.nps.gov/arch/planyourvisit/camping.htm
asis,Oceanside Drive-in Campground,16,False,Vault toilets|Showers|Potable water|Dump station|Camp store|Cell reception,https://www.nps.gov/asis/planyourvisit/oceanside-drive-in-campground-reservation.htm
asis,Bayside Drive-in Campground,22,False,Vault toilets|Showers|Potable water|Dump station|Camp store|Cell reception,https://www.nps.gov/asis/planyourvisit/bayside-drive-in-campground-reservation.htm
asis,Oceanside Walk-in campground,62,False,Vault toilets|Showers|Potable water|Dump station|Camp store|Tent sites,https://www.nps.gov/asis/planyourvisit/oceanside-walk-in-campground-reservation.htm
asis,Oceanside Group Campground,5,False,Vault toilets|Showers|Potable water|Dump station|Camp store|Tent sites,https://www.nps.gov/asis/planyourvisit/oceanside-group-campground-reservation.htm
asis,Horse camping,2,False,Vault toilets|Showers|Potable water|Dump station|Camp store|RV friendly,https://www.nps.gov/asis/planyourvisit/horse-campground-reservation.htm
asis,Back Country Camping - Pine Tree,1,False,Vault toilets|Dump station|Camp store|Tent sites|Cell reception,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
asis,Back Country Camping - Tingles Island,1,False,Vault toilets|Dump station|Camp store|Tent sites|Cell reception,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
asis,Back Country Camping - Green Run,1,False,Vault toilets|Dump station|Camp store|Tent sites|Cell reception,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
asis,Back Country Camping - Pope Bay,1,False,Vault toilets|Dump station|Camp store|Tent sites|Cell reception,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
asis,Back Country Camping - Little Levels,1,False,Vault toilets|Dump station|Camp store|Tent sites|Cell reception,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
asis,Back Country Camping - State Line,1,False,Vault toilets|Dump station|Camp store|Tent sites|Cell reception,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
badl,Sage Creek Campground,22,False,Vault toilets,https://www.nps.gov/thingstodo/backcountry-camping-badl.htm
badl,Cedar Pass Campground,96,False,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,
band,Ponderosa Group Campground,2,False,Vault toilets|Potable water|RV friendly|Tent sites|Cell reception,https://www.nps.gov/band/planyourvisit/ponderosa-group-campground.htm
band,Juniper Family Campground,52,False,Flush toilets|Potable water|Dump station|Tent sites|Cell reception,https://www.nps.gov/band/planyourvisit/juniper-family-campground.htm
