park_code,park_name,fee_type,cost_usd,description
acad,Acadia National Park,Entrance - Private Vehicle,35.00,"Valid for seven days. Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants. This includes rental cars, RVs, and vans with fewer than 16 passengers. If the vehicle p"
acad,Acadia National Park,Entrance - Motorcycle,30.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
acad,Acadia National Park,Entrance - Per Person,20.00,"Valid for seven days. Admits one individual with no car (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge."
acad,Acadia National Park,Entrance - Education/Academic Groups,0.00,"School groups and other academic institutions may qualify for an Educational Fee Waiver. If not qualified, please check fees for large or commercial groups."
acad,Acadia National Park,Entrance - Non-commercial Groups,0.00,"Groups entering Acadia by bus, van, or other high-capacity vehicles (16 people or more) must pay an organized group entrance fee.

Adults (16 years old and over): $20/per person
Youth (15 years old an"
acad,Acadia National Park,Commercial Entrance - Per Person,20.00,"Are you operating a business that provides leisure or recreational services while in the park? If so, it is considered a commercial group and you are required to have a Commercial Use Authorization.

"
acad,Acadia National Park,Nonresident,100.00,"Each non-US resident aged 16 and older visiting Acadia National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless they are admitted with an Annual or America the "
adam,Adams National Historical Park,Entrance - Per Person,15.00,Entrance into the historic homes at Adams National Historical Park requires an entrance pass. Entrance passes cost $15 per person. Children under the age of 16 are free. If you have an America the Bea
anti,Antietam National Battlefield,Entrance - Private Vehicle,20.00,Personal Vehicle/Family: $20.00 for three days
anti,Antietam National Battlefield,Entrance - Per Person,10.00,"Individual: $10.00 for three days. This fee admits one individual in a vehicle and also includes hikers, bicyclists or pedestrians. Youth 15 and under are admitted free of charge."
anti,Antietam National Battlefield,Entrance - Motorcycle,15.00,"Valid for 3 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
anti,Antietam National Battlefield,Commercial Entrance - Motor Coach,100.00,$100 Motor Coach/Commercial Tour Groups with 26 or more people
anti,Antietam National Battlefield,Commercial Entrance - Mini-bus,40.00,$40 per passenger bus with 16-25 people
anti,Antietam National Battlefield,Commercial Entrance - Sedan,25.00,$25 per passenger bus/sedan with 1-6 people
anti,Antietam National Battlefield,Entrance - Education/Academic Groups,0.00,"To request an Academic Fee Waiver for your group, click on the link for further details."
arch,Arches National Park,Entrance - Private Vehicle,30.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants."
arch,Arches National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
arch,Arches National Park,Entrance - Per Person,15.00,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free."
asis,Assateague Island National Seashore,Entrance - Private Vehicle,25.00,Assateague 7 day vehicle pass.
asis,Assateague Island National Seashore,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
asis,Assateague Island National Seashore,Entrance - Per Person,0.00,Assateague per person walk-in or bicycle
badl,Badlands National Park,Entrance - Private Vehicle,30.00,Fee covers the entry of a private vehicle and its occupants for 7 days
badl,Badlands National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
badl,Badlands National Park,Entrance - Per Person,15.00,"Fee covers the entry of an individual that is hiking, bicycling, etc... for 7 days"
badl,Badlands National Park,Commercial Entrance - Sedan,25.00,"Commercial sedan, 1 to 6 passenger capacity. $25 plus $15 per person - 7 days for Original Manifest"
badl,Badlands National Park,Commercial Entrance - Van,50.00,"Commercial van, 7 to 15 passenger capacity; $50 - 7 days for Original Manifest"
badl,Badlands National Park,Commercial Entrance - Mini-bus,60.00,"Minibus, 16 to 25 passenger capacity; $60 - 7 days for Original Manifest"
badl,Badlands National Park,Commercial Entrance - Motor Coach,150.00,"Motorcoach, 26 or more passenger capacity; $150 - 7 days for Original Manifest"
band,Bandelier National Monument,Entrance - Private Vehicle,25.00,"Pass covers all persons traveling in a single, private, non-commercial vehicle (car, truck, camper, or van up to 15 passengers). Auto passes are non-transferable and not replaced if lost or stolen.  E"
band,Bandelier National Monument,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
band,Bandelier National Monument,Entrance - Per Person,15.00,"Pass covers per person entrance fee for those 16 years of age and older traveling on foot or by bicycle, or for individuals traveling together in a 16 passenger or greater vehicle as a non-commercial,"
bibe,Big Bend National Park,Entrance - Private Vehicle,30.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less); valid for 7 days."
bibe,Big Bend National Park,Entrance - Per Person,15.00,Admits one individual. Typically used for bicyclists and pedestrians; valid for 7 days.
bibe,Big Bend National Park,Commercial Entrance - Motor Coach,200.00,Companies conducting business in the park are required to obtain a commercial use authorization. The only exception is companies travelling in a 26-person capacity or greater vehicle; such vehicles ar
bibe,Big Bend National Park,Entrance - Non-commercial Groups,30.00,"Organized groups such as Scouts, clubs, etc. that do not qualify for an academic fee waiver are charged as follows:
$30 per non-commercial vehicle with a capacity of 15 or less.
$15 per person traveli"
bibe,Big Bend National Park,Commercial Entrance - Mini-bus,100.00,"This fee is valid for seven consecutive days. A commercial use authorization is required.

https://www.nps.gov/bibe/learn/management/cua.htm"
bibe,Big Bend National Park,Commercial Entrance - Sedan,25.00,"These fees are charged only to commercial organizations, such as tour companies. This fee is determined by the seating capacity of the vehicle. For sedan with 1 to 6 seats, the fee is $30 + $15 per cl"
bibe,Big Bend National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 1 private, non-commercial motorcycle with up to 2 total passengers."
blca,Black Canyon Of The Gunnison National Park,Entrance - Private Vehicle,30.00,"7-Day Vehicle Pass.  Entrance fees cover all persons in a single, private, non-commercial vehicle."
blca,Black Canyon Of The Gunnison National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
blca,Black Canyon Of The Gunnison National Park,Entrance - Per Person,15.00,7-Day Individual Pass (pedestrian or bicycle)
blca,Black Canyon Of The Gunnison National Park,Commercial Entrance - Sedan,25.00,Commercial tour fee for vehicle/bus with seating capacity of 1-6 persons.  Fee is $25.00 per vehicle plus $7.00 per passenger.
blca,Black Canyon Of The Gunnison National Park,Commercial Entrance - Van,40.00,Commercial tour fee for vehicle/bus with seating capacity of 7-25.  Fee is $40.00 per vehicle.
blca,Black Canyon Of The Gunnison National Park,Commercial Entrance - Mini-bus,40.00,Commercial tour fee for vehicle/bus with seating capacity of 7-25.  Fee is $40.00 per vehicle.
blca,Black Canyon Of The Gunnison National Park,Commercial Entrance - Motor Coach,100.00,Commercial tour fee for vehicle/bus with seating capacity of 26 or more.  Fee is $100.00 per vehicle.
blca,Black Canyon Of The Gunnison National Park,Entrance - Non-commercial Groups,30.00,"Non-commercial vehicles with a vehicle capacity of 15 or fewer: $30.00 per vehicle, regardless of the number of passengers."
blca,Black Canyon Of The Gunnison National Park,Entrance - Non-commercial Groups,15.00,Non-commercial vehicles with a vehicle capacity of 16 or greater: $15.00 per passenger (including driver). Fees will not exceed the commercial fee for the same-sized vehicle. Youth 15 and under are fr
brca,Bryce Canyon National Park,Entrance - Private Vehicle,35.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all occupants."
brca,Bryce Canyon National Park,Entrance - Motorcycle,30.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
brca,Bryce Canyon National Park,Entrance - Per Person,20.00,Admits one individual with no car to the park - typically used for bicyclists and walk-ins. Youth 15 and under are admitted free.
brca,Bryce Canyon National Park,Nonresident,100.00,"Each non-US resident aged 16 and older visiting Bryce Canyon National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Bea"
cabr,Cabrillo National Monument,Entrance - Private Vehicle,20.00,"Admits one single, private, non-commercial vehicle and all its passengers."
cabr,Cabrillo National Monument,Entrance - Motorcycle,15.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
cabr,Cabrillo National Monument,Entrance - Per Person,10.00,"Admits one individual when entering by foot or bicycle. Groups of up to 4 people walking in or on bicycles are capped at $20 total.

Individuals 15 years old and younger are admitted free of charge."
cabr,Cabrillo National Monument,Commercial Entrance - Sedan,30.00,1 to 6 / ($30)
cabr,Cabrillo National Monument,Commercial Entrance - Van,45.00,7 to 25 / ($45)
cabr,Cabrillo National Monument,Commercial Entrance - Mini-bus,45.00,7 to 25 / ($45)
cabr,Cabrillo National Monument,Commercial Entrance - Motor Coach,100.00,26 or more / ($100)
cabr,Cabrillo National Monument,Entrance - Non-commercial Groups,20.00,"Organized Non-Commercial Groups include church groups, college/school groups, scouts, service organizations, military, etc.
Vehicles with a capacity of 16 or less are charged the $20.00 vehicle permit"
caco,Cape Cod National Seashore,Entrance - Private Vehicle,25.00,"Pass is for one private, non-commercial vehicle — passenger cars, pickup trucks, RVs and vans."
caco,Cape Cod National Seashore,Entrance - Motorcycle,20.00,"Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
caco,Cape Cod National Seashore,Entrance - Per Person,15.00,Pass is for one person 16 years of age or older — entering on foot or by bicycle.
cana,Canaveral National Seashore,Entrance - Private Vehicle,25.00,Admits the passholder and passengers of a single vehicle. Good for 7 consecutive days at all park entrances.
cana,Canaveral National Seashore,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
