park_code,name,designation,unit_type,states,visitors_2025,dark_sky_certified,timed_entry_required,has_entrance_fees,bird_species,alerts_active,latitude,longitude
abli,Abraham Lincoln Birthplace National Historical Park,National Historical Park,Historical Parks,KY,212899,False,False,False,131,0,37.5858662,-85.67330523
acad,Acadia National Park,National Park,National Parks,ME,4079318,False,True,True,215,3,44.409286,-68.247501
adam,Adams National Historical Park,National Historical Park,Historical Parks,MA,48726,False,True,True,,4,42.2553961,-71.01160356
afam,African American Civil War Memorial,Park Unit,Other,DC,,False,False,False,,0,38.9166,-77.026
afbg,African Burial Ground National Monument,National Monument,Monuments,NY,32465,False,False,False,,0,40.71452681,-74.00447358
agfo,Agate Fossil Beds National Monument,National Monument,Monuments,NE,16827,False,False,False,131,2,42.42170419,-103.753886
alag,Alagnak Wild River,Wild River,Rivers & Riverways,AK,375,False,False,False,123,0,59.05180188,-156.112002
alca,Alcatraz Island,Park Unit,Other,CA,,False,False,False,,2,37.82676234,-122.4230206
aleu,Aleutian Islands World War II National Historic Area,National Historic Area,Other,AK,,False,False,False,,0,53.9143,-166.5197
alfl,Alibates Flint Quarries National Monument,National Monument,Monuments,TX,8054,False,False,False,32,2,35.5819662,-101.6717008
alka,Ala Kahakai National Historic Trail,National Historic Trail,Trails,HI,,False,False,False,,0,19.144668109,-155.890734294
alpo,Allegheny Portage Railroad National Historic Site,National Historic Site,Historic Sites,PA,162905,False,False,False,122,1,40.42977467,-78.57431622
amch,Amache National Historic Site,National Historic Site,Historic Sites,CO,8113,False,False,False,,2,38.04962,-102.32903
amis,Amistad National Recreation Area,National Recreation Area,Recreation Areas,TX,734293,False,False,False,255,3,29.53539777,-101.075821
amme,American Memorial Park,Park,Other,MP,,False,False,False,24,1,15.21680033,145.7231096
anac,Anacostia Park,Park,Other,DC,,False,False,False,223,0,38.8782,-76.9703
anch,Alaska Public Lands,Park Unit,Other,AK,,False,False,False,,0,61.2188,-149.894536
ande,Andersonville National Historic Site,National Historic Site,Historic Sites,GA,61850,False,False,False,,0,32.19831758,-84.12988898
ania,Aniakchak National Monument & Preserve,National Monument & Preserve,Preserves & Reserves,AK,247,False,False,False,134,0,56.85317675,-157.5544362
anjo,Andrew Johnson National Historic Site,National Historic Site,Historic Sites,TN,43203,False,False,False,,2,36.15624509,-82.83709021
anti,Antietam National Battlefield,National Battlefield,Battlefields & Military Parks,MD,161006,False,False,True,137,1,39.46763452,-77.73828017
apco,Appomattox Court House National Historical Park,National Historical Park,Historical Parks,VA,77496,False,False,False,93,1,37.38022164,-78.79856982
apis,Apostle Islands National Lakeshore,National Lakeshore,Seashores & Lakeshores,WI,261009,False,False,False,253,7,46.96240467,-90.66045665
appa,Appalachian National Scenic Trail,National Scenic Trail,Trails,CT|GA|MA|MD|ME|NC|NH|NJ|NY|PA|TN|VA|VT|WV,6215118,False,False,False,38,2,40.41029575,-76.4337548
arch,Arches National Park,National Park,National Parks,UT,1511740,True,False,True,188,2,38.72261844,-109.5863666
arho,"Arlington House, The Robert E. Lee Memorial",Park Unit,Other,VA,363284,False,False,False,,1,38.8822021484,-77.0734786987
arpo,Arkansas Post National Memorial,National Memorial,Memorials,AR,27674,False,False,False,111,0,34.00389998,-91.30837178
asis,Assateague Island National Seashore,National Seashore,Seashores & Lakeshores,MD|VA,2325195,False,False,True,310,1,38.05593172,-75.24524611
azru,Aztec Ruins National Monument,National Monument,Monuments,NM,38636,False,False,False,115,1,36.83682216,-107.9999245
badl,Badlands National Park,National Park,National Parks,SD,1139361,True,False,True,209,2,43.68584846,-102.482942
band,Bandelier National Monument,National Monument,Monuments,NM,247642,False,False,True,175,2,35.77898596,-106.3317124
bawa,Baltimore-Washington Parkway,Parkway,Parkways,MD,,False,False,False,127,0,39.02604289,-76.85410921
bela,Bering Land Bridge National Preserve,National Preserve,Preserves & Reserves,AK,2674,False,False,False,150,2,65.96087902,-164.4086432
beol,Bent's Old Fort National Historic Site,National Historic Site,Historic Sites,CO,7190,False,False,False,72,6,38.03977546,-103.4266499
bepa,Belmont-Paul Women's Equality National Monument,National Monument,Monuments,DC,6514,False,False,False,,0,38.89231541,-77.00381882
bibe,Big Bend National Park,National Park,National Parks,TX,568104,True,False,True,409,3,29.29817767,-103.2297897
bica,Bighorn Canyon National Recreation Area,National Recreation Area,Recreation Areas,MT|WY,228382,False,False,False,232,2,45.13154227,-108.1443943
bicr,Birmingham Civil Rights National Monument,National Monument,Monuments,AL,,False,False,False,,1,33.5154266357,-86.814666748
bicy,Big Cypress National Preserve,National Preserve,Preserves & Reserves,FL,2262731,False,False,False,197,3,25.97079602,-81.08120629
biho,Big Hole National Battlefield,National Battlefield,Battlefields & Military Parks,MT,40938,False,False,False,205,1,45.64647324,-113.6458443
bisc,Biscayne National Park,National Park,National Parks,FL,486567,False,False,False,230,3,25.490587,-80.21023851
biso,Big South Fork National River & Recreation Area,National River & Recreation Area,Rivers & Riverways,KY|TN,774353,False,False,False,173,5,36.5348388,-84.66506688
bith,Big Thicket National Preserve,National Preserve,Preserves & Reserves,TX,228310,False,False,False,295,2,30.457983431,-94.386742115
blca,Black Canyon Of The Gunnison National Park,National Park,National Parks,CO,250086,True,False,True,174,3,38.57779869,-107.7242756
blri,Blue Ridge Parkway,Parkway,Parkways,NC|VA,16533753,False,False,False,241,0,35.5657195274,-82.486484587
blrv,Blackstone River Valley National Historical Park,National Historical Park,Historical Parks,RI|MA,,False,False,False,,0,41.8775792792,-71.382433945
blsc,Blackwell School National Historic Site,National Historic Site,Historic Sites,TX,,False,False,False,,0,30.3057966497568,-104.022553112857
blue,Bluestone National Scenic River,National Scenic River,Rivers & Riverways,WV,12446,False,False,False,109,0,37.56577087,-80.98366657
boaf,Boston African American National Historic Site,National Historic Site,Historic Sites,MA,365864,False,False,False,,0,42.35908295,-71.06764181
boha,Boston Harbor Islands National Recreation Area,National Recreation Area,Recreation Areas,MA,4276,False,False,False,84,1,42.30905526,-70.93941138
bost,Boston National Historical Park,National Historical Park,Historical Parks,MA,2383812,False,False,False,,3,42.36957407,-71.05536763
bowa,Booker T Washington National Monument,National Monument,Monuments,VA,21698,False,False,False,123,0,37.11520539,-79.73185833
brca,Bryce Canyon National Park,National Park,National Parks,UT,1967367,True,False,True,203,2,37.58399144,-112.1826689
brcr,Brices Cross Roads National Battlefield Site,National Battlefield Site,Battlefields & Military Parks,MS,,False,False,False,,0,34.50611958,-88.72889343
brvb,Brown v. Board of Education National Historical Park,National Historical Park,Historical Parks,KS,17860,False,False,False,,1,39.03787665,-95.67614437
buff,Buffalo National River,National River,Rivers & Riverways,AR,1393246,True,False,False,211,1,36.04116481,-92.90761584
buis,Buck Island Reef National Monument,National Monument,Monuments,VI,40079,False,False,False,37,0,17.81026717,-64.6222179
buov,Butterfield Overland National Historic Trail,National Historic Trail,Trails,MO|AR|OK|TX|NM|AZ|CA,,False,False,False,,0,32.2768237589,-106.796583304
cabr,Cabrillo National Monument,National Monument,Monuments,CA,769336,False,False,True,367,0,32.6722503,-117.2415985
cach,Canyon de Chelly National Monument,National Monument,Monuments,AZ,340586,False,False,False,192,2,36.14319567,-109.3388303
cacl,Castle Clinton National Monument,National Monument,Monuments,NY,3656350,False,False,False,,1,40.70347795,-74.01680558
caco,Cape Cod National Seashore,National Seashore,Seashores & Lakeshores,MA,3682771,False,False,True,372,2,41.92381465,-70.04319832
cagr,Casa Grande Ruins National Monument,National Monument,Monuments,AZ,87748,False,False,False,114,0,32.99702582,-111.5325383
caha,Cape Hatteras National Seashore,National Seashore,Seashores & Lakeshores,NC,2684009,False,False,False,369,3,35.41370839,-75.65061112
cahi,Capitol Hill Parks,Park Unit,Other,DC,,False,False,False,,0,38.889993,-76.990332
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,Trails,VA|MD|DE|DC|PA|NY,,False,False,False,,0,38.971601,-76.483355
cakr,Cape Krusenstern National Monument,National Monument,Monuments,AK,3357,False,False,False,142,0,67.41499986,-163.5037786
cali,California National Historic Trail,National Historic Trail,Trails,CA|CO|ID|KS|MO|NE|NV|OR|UT|WY,,False,False,False,,0,42.3999643979,-108.702415369
calo,Cape Lookout National Seashore,National Seashore,Seashores & Lakeshores,NC,512737,False,False,False,275,1,34.8267961,-76.34319082
came,Cape Henry Memorial Part of Colonial National Historical Park,Part of Colonial National Historical Park,Historical Parks,VA,,False,False,False,,0,36.9278094,-76.0088219
camo,Castle Mountains National Monument,National Monument,Monuments,CA,,False,False,False,,3,35.29156348,-115.0935606
cana,Canaveral National Seashore,National Seashore,Seashores & Lakeshores,FL,2496947,False,False,True,273,4,28.78637529,-80.75419576
cane,Camp Nelson National Monument,National Monument,Monuments,KY,20763,False,False,False,,0,37.7970179913,-84.598168306
cany,Canyonlands National Park,National Park,National Parks,UT,796057,True,False,True,206,2,38.24555783,-109.8801624
care,Capitol Reef National Park,National Park,National Parks,UT,1388476,True,False,True,242,3,38.2821653131,-111.247048378
cari,Cane River Creole National Historical Park,National Historical Park,Historical Parks,LA,11203,False,False,False,,2,31.65408447,-93.00131977
carl,Carl Sandburg Home National Historic Site,National Historic Site,Historic Sites,NC,94796,False,False,False,102,1,35.26815509,-82.45106258
casa,Castillo de San Marcos National Monument,National Monument,Monuments,FL,598070,False,False,True,84,2,29.89785701,-81.31217173
cato,Catoctin Mountain Park,Park,Other,MD,460857,False,False,False,134,0,39.65068457,-77.46417665
cave,Carlsbad Caverns National Park,National Park,National Parks,NM,410778,False,False,True,367,5,32.14089463,-104.5529688
cavo,Capulin Volcano National Monument,National Monument,Monuments,NM,89489,True,False,True,59,3,36.78171096,-103.9710427
cawo,Carter G. Woodson Home National Historic Site,National Historic Site,Historic Sites,DC,20,False,False,False,,1,38.91089286,-77.02431104
cbpo,Chesapeake Bay,Park Unit,Other,DC|DE|MD|NY|PA|VA|WV,,False,False,False,,0,38.971601,-76.483355
cebe,Cedar Creek & Belle Grove National Historical Park,National Historical Park,Historical Parks,VA,,False,False,False,,0,39.0093576,-78.30618934
cebr,Cedar Breaks National Monument,National Monument,Monuments,UT,718014,True,False,True,108,0,37.63545562,-112.845268
cech,César E. Chávez National Monument,National Monument,Monuments,CA,31497,False,False,False,,0,35.22729389,-118.5615781
cham,Chamizal National Memorial,National Memorial,Memorials,TX,7917,False,False,False,39,0,31.76729634,-106.4544011
chat,Chattahoochee River National Recreation Area,National Recreation Area,Recreation Areas,GA,2901903,False,False,True,191,1,33.99698333,-84.28953177
chch,Chickamauga & Chattanooga National Military Park,National Military Park,Battlefields & Military Parks,GA|TN,971647,False,False,True,175,0,34.94317623,-85.28749537
chcu,Chaco Culture National Historical Park,National Historical Park,Historical Parks,NM,29816,True,False,True,149,0,36.03963414,-107.9560076
chic,Chickasaw National Recreation Area,National Recreation Area,Recreation Areas,OK,1877797,False,False,False,84,1,34.46050507,-97.00715669
chir,Chiricahua National Monument,National Monument,Monuments,AZ,70406,True,False,False,,1,32.01214618,-109.341607
chis,Channel Islands National Park,National Park,National Parks,CA,227186,False,False,False,354,2,33.98680093,-119.9112735
choh,Chesapeake & Ohio Canal National Historical Park,National Historical Park,Historical Parks,DC|MD|WV,4579704,False,False,True,181,4,39.000283692,-77.2481399539
chpi,Charles Pinckney National Historic Site,National Historic Site,Historic Sites,SC,23758,False,False,False,,0,32.84577392,-79.82487582
chri,Christiansted National Historic Site,National Historic Site,Historic Sites,VI,100165,False,False,True,,1,17.7468,-64.7022
chsc,Little Rock Central High School National Historic Site,National Historic Site,Historic Sites,AR,49069,False,False,False,,0,34.7369465,-92.29987899
chyo,Charles Young Buffalo Soldiers National Monument,National Monument,Monuments,OH,4412,False,False,False,,0,39.70817829,-83.89328575
cibs,Carlisle Federal Indian Boarding School National Monument,National Monument,Monuments,PA,,False,False,False,,1,40.2094,-77.17971
ciro,City Of Rocks National Reserve,National Reserve,Preserves & Reserves,ID,90898,False,False,False,164,1,42.0699024,-113.7124097
clba,Clara Barton National Historic Site,National Historic Site,Historic Sites,MD,11309,False,False,False,,1,38.96762882,-77.14009689
coga,Constitution Gardens,Park Unit,Other,DC,,False,False,False,6,0,38.8909354,-77.04409306
colm,Colorado National Monument,National Monument,Monuments,CO,483436,False,False,True,164,1,39.05045016,-108.6920709
colo,Colonial National Historical Park,National Historical Park,Historical Parks,VA,1582994,False,False,True,262,1,37.22824435,-76.61998123
colt,Coltsville National Historical Park,National Historical Park,Historical Parks,CT,,False,False,False,,2,42.4677505493,-73.203666687
