park_code,park_name,bird_species,mammal_species
abli,Abraham Lincoln Birthplace National Historical Park,131,38
acad,Acadia National Park,215,38
agfo,Agate Fossil Beds National Monument,131,42
alag,Alagnak Wild River,123,33
alfl,Alibates Flint Quarries National Monument,32,14
alka,Ala Kahakai National Historic Trail,0,1
alpo,Allegheny Portage Railroad National Historic Site,122,33
amis,Amistad National Recreation Area,255,66
amme,American Memorial Park,24,7
anac,Anacostia Park,223,9
ania,Aniakchak National Monument & Preserve,134,29
anti,Antietam National Battlefield,137,36
apco,Appomattox Court House National Historical Park,93,26
apis,Apostle Islands National Lakeshore,253,42
appa,Appalachian National Scenic Trail,38,11
arch,Arches National Park,188,56
arpo,Arkansas Post National Memorial,111,33
asis,Assateague Island National Seashore,310,53
azru,Aztec Ruins National Monument,115,47
badl,Badlands National Park,209,49
band,Bandelier National Monument,175,71
bawa,Baltimore-Washington Parkway,127,0
bela,Bering Land Bridge National Preserve,150,37
beol,Bent's Old Fort National Historic Site,72,22
bibe,Big Bend National Park,409,80
bica,Bighorn Canyon National Recreation Area,232,57
bicy,Big Cypress National Preserve,197,35
biho,Big Hole National Battlefield,205,64
bisc,Biscayne National Park,230,25
biso,Big South Fork National River & Recreation Area,173,57
bith,Big Thicket National Preserve,295,57
blca,Black Canyon Of The Gunnison National Park,174,59
blri,Blue Ridge Parkway,241,72
blue,Bluestone National Scenic River,109,43
boha,Boston Harbor Islands National Recreation Area,84,11
bowa,Booker T Washington National Monument,123,32
brca,Bryce Canyon National Park,203,61
buff,Buffalo National River,211,58
buis,Buck Island Reef National Monument,37,1
cabr,Cabrillo National Monument,367,30
cach,Canyon de Chelly National Monument,192,57
caco,Cape Cod National Seashore,372,52
cagr,Casa Grande Ruins National Monument,114,17
caha,Cape Hatteras National Seashore,369,34
cakr,Cape Krusenstern National Monument,142,35
calo,Cape Lookout National Seashore,275,18
cana,Canaveral National Seashore,273,25
cany,Canyonlands National Park,206,55
care,Capitol Reef National Park,242,62
carl,Carl Sandburg Home National Historic Site,102,35
